Nama Paket,Kategori,Jumlah Box,Jumlah Kambing,Harga,Gambar (URL / path),Isi Paket,Tag / Label Promo (jika ada)
Paket Hemat,Laki-Laki,80,2,3600000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_hemat.webp,"- Box Bento Minimalist
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING EKONOMIS💲
Paket Hemat,Laki-Laki,100,2,3900000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_hemat.webp,"- Box Bento Minimalist
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING EKONOMIS💲
Paket Hemat,Laki-Laki,150,2,5300000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_hemat.webp,"- Box Bento Minimalist
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING EKONOMIS💲
Paket Reguler,Laki-Laki,80,2,4050000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_reguler.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",BEST SELLER ⭐
Paket Reguler,Laki-Laki,100,2,4450000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_reguler.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",BEST SELLER ⭐
Paket Reguler,Laki-Laki,150,2,5750000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_reguler.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",BEST SELLER ⭐
Paket Reguler,Laki-Laki,200,2,6700000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_reguler.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",BEST SELLER ⭐
Paket Spesial,Laki-Laki,80,2,4800000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_spesial.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Olahan Ayam (Ayam Goreng/Bakar)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING LENGKAP🤤
Paket Spesial,Laki-Laki,100,2,5400000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_spesial.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Olahan Ayam (Ayam Goreng/Bakar)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING LENGKAP🤤
Paket Spesial,Laki-Laki,150,2,7150000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_spesial.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Olahan Ayam (Ayam Goreng/Bakar)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING LENGKAP🤤
Paket Spesial,Laki-Laki,200,2,8800000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_spesial.webp,"- Box Exclusive
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Olahan Ayam (Ayam Goreng/Bakar)
- Kentang Balado
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING LENGKAP🤤
Paket Kebuli Basmati,Laki-Laki,80,2,4900000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_basmati.webp,"- Box Bento Minimalist
- Nasi Kebuli Basmati
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Basmati,Laki-Laki,100,2,5650000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_basmati.webp,"- Box Bento Minimalist
- Nasi Kebuli Basmati
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Basmati,Laki-Laki,150,2,7550000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_basmati.webp,"- Box Bento Minimalist
- Nasi Kebuli Basmati
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Basmati,Laki-Laki,200,2,9350000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_basmati.webp,"- Box Bento Minimalist
- Nasi Kebuli Basmati
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Lokal,Laki-Laki,80,2,4500000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_lokal.webp,"- Box Bento Minimalist
- Nasi Kebuli Lokal
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Lokal,Laki-Laki,100,2,5050000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_lokal.webp,"- Box Bento Minimalist
- Nasi Kebuli Lokal
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Lokal,Laki-Laki,150,2,6750000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_lokal.webp,"- Box Bento Minimalist
- Nasi Kebuli Lokal
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Paket Kebuli Lokal,Laki-Laki,200,2,8350000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/kebuli_lokal.webp,"- Box Bento Minimalist
- Nasi Kebuli Lokal
- Daging Goreng Rempah
- Kentang Balado
- Emping
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",-
Hewan Masak,Laki-Laki,-,2,Hubungi Kami,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/hewan_masak.webp,"- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)",-
Karkas,Laki-Laki,-,2,Hubungi Kami,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/karkas.webp,- Daging & Tulang Domba Segar,-
Paket Hemat,Perempuan,50,1,1975000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_hemat.webp,"- Box Bento Minimalist
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING EKONOMIS💲
Paket Hemat,Perempuan,75,1,2700000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_hemat.webp,"- Box Bento Minimalist
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING EKONOMIS💲
Paket Hemat,Perempuan,100,1,3250000,https://raw.githubusercontent.com/ABEEE-666/LP-Engine/refs/heads/main/LP-Engine-V1/SAJ-LP/image/gallery/paket_hemat.webp,"- Box Bento Minimalist
- Nasi Putih
- Olahan Daging (Sate/Teriyaki/Rendang)
- Olahan Tulang (Gulai/Sop/Tongseng)
- Kerupuk Udang
- Minuman ringan
- Mix Vegetables
- Alat Makan Higienis",PALING EKONOMIS💲
